"sample_id","leukocyte_score","epithelial_score","tissue_score","purity_score","purity_flag","type"
"Pr10.1.2",0.542776270539455,0.288594305392135,0.568920280513926,0.34262429596139,"intermediate","candidate PCa CTC"
"Pr10.1.3",0.499513367347169,0.151794015031522,0.583074593633248,0.331897729401952,"intermediate","candidate PCa CTC"
"Pr10.2.1",0.225670394480021,0.593815902139245,0.580315055056097,0.624990655544252,"high_purity","candidate PCa CTC"
"Pr11.1.2",0.377957039456013,0.193580841916939,0.640023049684081,0.433415927707737,"intermediate","candidate PCa CTC"
"Pr11.2.1",0.296446844396648,0.557995550491363,0.571435982356587,0.569679512080986,"high_purity","candidate PCa CTC"
"Pr11.2.3",0.466468167007292,0.389175363139589,0.397429711795674,0.366888641705367,"intermediate","candidate PCa CTC"
"Pr12.1.1",0.498201787079701,0.384355342850902,0.455432289751227,0.363834411104409,"intermediate","candidate PCa CTC"
"Pr12.1.2",0.195046537181251,0.535655595368409,0.71018928998596,0.664476125215423,"high_purity","candidate PCa CTC"
"Pr13.1.1",0.415510625788607,0.314249800270995,0.678730819212535,0.458441362846415,"intermediate","candidate PCa CTC"
"Pr13.1.2",0.328026228296308,0.343055613744922,0.648677424575141,0.510031156544527,"high_purity","candidate PCa CTC"
"Pr14.3.2",0.521378454269813,0.258232099880664,0.565403445764455,0.345272246352776,"intermediate","candidate PCa CTC"
"Pr14.3.3",0.438170927095747,0.293449020320352,0.510141876148371,0.388739701134055,"intermediate","candidate PCa CTC"
"Pr15.1.2",0.501460799875952,0.307088103646905,0.480200174785839,0.346308086140702,"intermediate","candidate PCa CTC"
"Pr16.1.1",0.558025659393788,0.290787386529144,-0.276471130787678,0.0831634474076403,"low_purity","candidate PCa CTC"
"Pr16.1.2",0.43344555877868,0.25524097560228,0.354593248478141,0.334006574455094,"intermediate","candidate PCa CTC"
"Pr16.1.3",0.549697127449659,0.280859417894601,-0.281912931193507,0.0835457339123814,"low_purity","candidate PCa CTC"
"Pr16.1.4",0.474374999618436,0.397928113597384,0.237987038477104,0.317442258213913,"intermediate","candidate PCa CTC"
"Pr16.1.6",0.530992912351357,0.314390650985247,0.223618493043467,0.254739705127215,"intermediate","candidate PCa CTC"
"Pr18.1.2",0.398213963466251,0.462487914011813,0.800036893562073,0.548760738314366,"high_purity","candidate PCa CTC"
"Pr18.1.3",0.459712634795471,0.489566362433789,0.731163401183259,0.499822528400319,"intermediate","candidate PCa CTC"
"Pr18.1.9",0.202131933510791,0.479239320961859,0.704119384706135,0.641711390259703,"high_purity","candidate PCa CTC"
"Pr18.2.4",-0.18054377253312,0.332538125366862,0.766824545069856,0.844052731043338,"high_purity","candidate PCa CTC"
"Pr20.1.2",0.226793572696821,0.516956155294744,0.627034052585162,0.61537269313586,"high_purity","candidate PCa CTC"
"Pr22.1.1",0.295735453253952,0.457983235493197,0.626243628664276,0.556677654462848,"high_purity","candidate PCa CTC"
"Pr22.1.3",0.255193215254439,0.61568352541143,0.678124921663082,0.642996427424926,"high_purity","candidate PCa CTC"
"Pr9.1.5",0.491971847851016,0.29996997608019,0.547628307844555,0.369854127559865,"intermediate","candidate PCa CTC"
"Pr9.1.7",0.475401028460404,0.324133317900192,0.61603782964056,0.40718742210046,"intermediate","candidate PCa CTC"
"Pr9.2.1",0.483088417078129,0.390368366540143,0.235596098668055,0.309311986327011,"intermediate","candidate PCa CTC"
"Pr9.2.2",0.452513229169442,0.364800274485574,0.272458955912193,0.330825938461993,"intermediate","candidate PCa CTC"
"Pr9.3.2",0.241474846881081,0.478225945532279,0.534406039344879,0.567643626226495,"high_purity","candidate PCa CTC"
"Pr9.3.3",0.242962019488121,0.49786152878453,0.384710863740497,0.528136687246925,"high_purity","candidate PCa CTC"
"Pr9.3.4",0.291894884233773,0.29708425656032,0.291772554877098,0.41184922537366,"intermediate","candidate PCa CTC"
"Pr9.3.5",0.373224650819806,0.411667815503965,0.661291151873216,0.50730767992625,"high_purity","candidate PCa CTC"
"Pr1.1.1",0.374960114953037,0.457283507815124,0.338196422516025,0.423874284365897,"intermediate","candidate PCa CTC"
"Pr2.1.1",0.49823513759945,0.491958992296633,0.646236428361004,0.452432428538674,"intermediate","candidate PCa CTC"
"Pr2.1.2",0.249576791284097,0.620780906362868,0.67380479158769,0.64656305297756,"high_purity","candidate PCa CTC"
"Pr3.1.2",0.331805379940442,0.390940466171564,0.663209828673757,0.526322558254998,"high_purity","candidate PCa CTC"
"Pr4.1.1",0.3932911107934,0.402366448281585,0.388031649671905,0.411477667833159,"intermediate","candidate PCa CTC"
