"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","batch_sd","batch_balanced","n_per_group","median_lib"
13155,148,141,7,1720,0.0819767441860465,0.952702702702703,0.0472972972972973,0.1,0.26243216602983,0,0.00472813238770686,0,61,3667,0.984455958549223,"TMMwsp",TRUE,FALSE,1.2183027732373,"ctc_pipeline",2,2,0.35,TRUE,5,758889.5
10985,203,163,40,1720,0.0947674418604651,0.80295566502463,0.197044334975369,0.1,0.240423989189206,0,0.00472813238770686,0,61,4073,0.98502332433096,"TMMwsp",FALSE,FALSE,0.895528841299755,"batch_removed",2,2,0.35,TRUE,5,758889.5
10985,148,139,9,1720,0.0808139534883721,0.939189189189189,0.0608108108108108,0.1,0.252998867853619,0,0.00472813238770686,0,61,4073,0.98502332433096,"TMMwsp",FALSE,FALSE,1.11286899856255,"batch_ignored",2,2,0.35,TRUE,5,758889.5
12586,143,136,7,1720,0.0790697674418605,0.951048951048951,0.048951048951049,0.1,0.264484160486018,0,0,0,71,3618,0.982863460475401,"TMMwsp",TRUE,FALSE,1.22379166672886,"ctc_pipeline",2,3,0.7,TRUE,5,1100793
10383,210,167,43,1720,0.097093023255814,0.795238095238095,0.204761904761905,0.1,0.235065997795219,0,0,0,71,3926,0.98191543555782,"TMMwsp",FALSE,FALSE,0.861913384952079,"batch_removed",2,3,0.7,TRUE,5,1100793
10383,66,65,1,1720,0.0377906976744186,0.984848484848485,0.0151515151515152,0.1,0.243665949354382,0,0,0,71,3926,0.98191543555782,"TMMwsp",FALSE,FALSE,1.42180527870542,"batch_ignored",2,3,0.7,TRUE,5,1100793
13364,69,66,3,1720,0.0383720930232558,0.956521739130435,0.0434782608695652,0.1,0.191430303389368,0,0,0,64,2962,0.984132343011479,"TMMwsp",TRUE,FALSE,1.44530274098907,"ctc_pipeline",2,4,0,FALSE,5,1011888.5
10182,1159,249,910,1720,0.144767441860465,0.214840379637619,0.785159620362381,0.1,0.154863576584938,0,0,0,64,4067,0.984263584952053,"TMMwsp",FALSE,FALSE,0.890699024812968,"batch_removed",2,4,0,FALSE,5,1011888.5
10182,136,128,8,1720,0.0744186046511628,0.941176470588235,0.0588235294117647,0.1,0.236862319069887,0,0,0,64,4067,0.984263584952053,"TMMwsp",FALSE,FALSE,1.02486719342396,"batch_ignored",2,4,0,FALSE,5,1011888.5
14183,82,78,4,1720,0.0453488372093023,0.951219512195122,0.048780487804878,0.1,0.223493707378971,0,0,0,60,2712,0.985250737463127,"TMMwsp",TRUE,FALSE,1.30738746844743,"ctc_pipeline",2,5,0.35,FALSE,5,1099008.5
10959,1251,295,956,1720,0.171511627906977,0.235811350919265,0.764188649080735,0.1,0.16667177424887,0,0,0,60,3816,0.984276729559748,"TMMwsp",FALSE,FALSE,0.84506481288378,"batch_removed",2,5,0.35,FALSE,5,1099008.5
10959,228,169,59,1720,0.0982558139534884,0.741228070175439,0.258771929824561,0.1,0.244875221409863,0,0,0,60,3816,0.984276729559748,"TMMwsp",FALSE,FALSE,1.04004031079176,"batch_ignored",2,5,0.35,FALSE,5,1099008.5
13519,91,91,0,1720,0.052906976744186,1,0,0.1,0.220408772212177,0,0,0,58,2749,0.985085485631139,"TMMwsp",TRUE,FALSE,1.34238065165115,"ctc_pipeline",2,6,0.7,FALSE,5,1027707.5
10360,712,209,503,1720,0.121511627906977,0.293539325842697,0.706460674157303,0.1,0.17771164043512,0,0.00477326968973747,0,58,3961,0.985357233021964,"TMMwsp",FALSE,FALSE,0.816391476335232,"batch_removed",2,6,0.7,FALSE,5,1027707.5
10360,293,139,154,1720,0.0808139534883721,0.474402730375427,0.525597269624573,0.1,0.1845382125028,0,0.00238663484486874,0,58,3961,0.985357233021964,"TMMwsp",FALSE,FALSE,1.29873252990117,"batch_ignored",2,6,0.7,FALSE,5,1027707.5
13598,164,159,5,1720,0.0924418604651163,0.969512195121951,0.0304878048780488,0.1,0.287529024829158,0,0,0,73,3443,0.978797560267209,"TMMwsp",TRUE,FALSE,1.16230749494796,"ctc_pipeline",3,1,0,TRUE,5,1130782
11364,252,203,49,1720,0.118023255813953,0.805555555555556,0.194444444444444,0.1,0.272993221696228,0,0,0,73,3719,0.980371067491261,"TMMwsp",FALSE,FALSE,0.848304219636155,"batch_removed",3,1,0,TRUE,5,1130782
11364,189,176,13,1720,0.102325581395349,0.931216931216931,0.0687830687830688,0.1,0.284254234797479,0,0,0,73,3719,0.980371067491261,"TMMwsp",FALSE,FALSE,0.932736747284339,"batch_ignored",3,1,0,TRUE,5,1130782
12218,128,122,6,1720,0.0709302325581395,0.953125,0.046875,0.1,0.245538674664613,0,0,0,56,3695,0.985385656292287,"TMMwsp",TRUE,FALSE,1.31277331365804,"ctc_pipeline",3,2,0.35,TRUE,5,751965.5
10000,186,148,38,1720,0.086046511627907,0.795698924731183,0.204301075268817,0.1,0.221706476269059,0,0,0,56,3977,0.985919034448076,"TMMwsp",FALSE,FALSE,0.945497174858346,"batch_removed",3,2,0.35,TRUE,5,751965.5
10000,123,114,9,1720,0.0662790697674419,0.926829268292683,0.0731707317073171,0.1,0.235611756004471,0,0,0,56,3977,0.985919034448076,"TMMwsp",FALSE,FALSE,1.16044010047926,"batch_ignored",3,2,0.35,TRUE,5,751965.5
12127,117,114,3,1720,0.0662790697674419,0.974358974358974,0.0256410256410256,0.1,0.254895722538631,0,0,0,85,3789,0.979678015307469,"TMMwsp",TRUE,FALSE,1.27283936972809,"ctc_pipeline",3,3,0.7,TRUE,5,774137
9870,171,139,32,1720,0.0808139534883721,0.812865497076023,0.187134502923977,0.1,0.226191978013356,0,0,0,85,4103,0.979283451133317,"TMMwsp",FALSE,FALSE,0.918113902146672,"batch_removed",3,3,0.7,TRUE,5,774137
9870,62,61,1,1720,0.0354651162790698,0.983870967741935,0.0161290322580645,0.1,0.228949882071367,0,0,0,85,4103,0.979283451133317,"TMMwsp",FALSE,FALSE,1.46463977032091,"batch_ignored",3,3,0.7,TRUE,5,774137
14212,100,96,4,1720,0.0558139534883721,0.96,0.04,0.1,0.221453408459514,0,0,0,77,2715,0.980110497237569,"TMMwsp",TRUE,FALSE,1.30646158659595,"ctc_pipeline",3,4,0,FALSE,5,971121.5
11084,1460,319,1141,1720,0.18546511627907,0.218493150684931,0.781506849315069,0.1,0.167434079799617,0,0,0,77,3836,0.97992700729927,"TMMwsp",FALSE,FALSE,0.839755320154855,"batch_removed",3,4,0,FALSE,5,971121.5
11084,200,175,25,1720,0.101744186046512,0.875,0.125,0.1,0.275774657210366,0,0,0,77,3836,0.97992700729927,"TMMwsp",FALSE,FALSE,0.955762252935772,"batch_ignored",3,4,0,FALSE,5,971121.5
12697,65,59,6,1720,0.0343023255813954,0.907692307692308,0.0923076923076923,0.1,0.184150511960636,0,0,0,59,2894,0.985832757429164,"TMMwsp",TRUE,FALSE,1.59020088452184,"ctc_pipeline",3,5,0.35,FALSE,5,1000255
9464,1225,237,988,1720,0.137790697674419,0.193469387755102,0.806530612244898,0.1,0.144846466702807,0,0,0,59,4078,0.985532123589995,"TMMwsp",FALSE,FALSE,0.975215090248429,"batch_removed",3,5,0.35,FALSE,5,1000255
9464,181,133,48,1720,0.0773255813953488,0.734806629834254,0.265193370165746,0.1,0.207651209396126,0,0,0,59,4078,0.985532123589995,"TMMwsp",FALSE,FALSE,1.17042881841275,"batch_ignored",3,5,0.35,FALSE,5,1000255
13866,97,92,5,1720,0.0534883720930233,0.948453608247423,0.0515463917525773,0.1,0.216532729192451,0,0,0,60,2790,0.987455197132617,"TMMwsp",TRUE,FALSE,1.32364409183118,"ctc_pipeline",3,6,0.7,FALSE,5,1120491
10703,1003,257,746,1720,0.149418604651163,0.256231306081755,0.743768693918245,0.1,0.179040300798186,0.00833333333333333,0,1,60,4122,0.985443959243086,"TMMwsp",FALSE,FALSE,0.831214107110711,"batch_removed",3,6,0.7,FALSE,5,1120491
10703,281,144,137,1720,0.0837209302325581,0.512455516014235,0.487544483985765,0.1,0.193835373726923,0,0,0,60,4122,0.985443959243086,"TMMwsp",FALSE,FALSE,1.29835744049887,"batch_ignored",3,6,0.7,FALSE,5,1120491
12887,127,125,2,1720,0.0726744186046512,0.984251968503937,0.015748031496063,0.1,0.264503495695915,0,0,0,64,3595,0.983031988873435,"TMMwsp",TRUE,FALSE,1.23073068625836,"ctc_pipeline",4,1,0,TRUE,5,902176
10655,213,165,48,1720,0.0959302325581395,0.774647887323944,0.225352112676056,0.1,0.240952127412066,0,0,0,64,3879,0.983500902294406,"TMMwsp",FALSE,FALSE,0.878221912330571,"batch_removed",4,1,0,TRUE,5,902176
10655,154,142,12,1720,0.0825581395348837,0.922077922077922,0.0779220779220779,0.1,0.256614053118594,0,0,0,64,3879,0.983500902294406,"TMMwsp",FALSE,FALSE,0.973051637329172,"batch_ignored",4,1,0,TRUE,5,902176
13303,148,139,9,1720,0.0808139534883721,0.939189189189189,0.0608108108108108,0.1,0.265647259188059,0,0,0,78,3615,0.980359612724758,"TMMwsp",TRUE,FALSE,1.19961671605243,"ctc_pipeline",4,2,0.35,TRUE,5,1132762.5
11032,198,159,39,1720,0.0924418604651163,0.803030303030303,0.196969696969697,0.1,0.24283214493985,0,0,0,78,3944,0.980223123732252,"TMMwsp",FALSE,FALSE,0.871495351158335,"batch_removed",4,2,0.35,TRUE,5,1132762.5
11032,139,134,5,1720,0.077906976744186,0.964028776978417,0.0359712230215827,0.1,0.253376070137669,0,0,0,78,3944,0.980223123732252,"TMMwsp",FALSE,FALSE,1.0819747157161,"batch_ignored",4,2,0.35,TRUE,5,1132762.5
12235,98,97,1,1720,0.0563953488372093,0.989795918367347,0.0102040816326531,0.1,0.236352378258662,0,0.00244498777506112,0,65,3795,0.983399209486166,"TMMwsp",TRUE,FALSE,1.23349277177883,"ctc_pipeline",4,3,0.7,TRUE,5,934068.5
10068,160,133,27,1720,0.0773255813953488,0.83125,0.16875,0.1,0.214953092693289,0,0.00244498777506112,0,65,4062,0.983998030526834,"TMMwsp",FALSE,FALSE,0.860990899799309,"batch_removed",4,3,0.7,TRUE,5,934068.5
10068,53,53,0,1720,0.0308139534883721,1,0,0.1,0.218651701943088,0,0.00244498777506112,0,65,4062,0.983998030526834,"TMMwsp",FALSE,FALSE,1.40940626106191,"batch_ignored",4,3,0.7,TRUE,5,934068.5
13613,75,71,4,1720,0.0412790697674419,0.946666666666667,0.0533333333333333,0.1,0.231198273636203,0,0,0,56,2769,0.983387504514265,"TMMwsp",TRUE,FALSE,1.40862862756123,"ctc_pipeline",4,4,0,FALSE,5,911773.5
10375,504,195,309,1720,0.113372093023256,0.386904761904762,0.613095238095238,0.1,0.184565732472592,0,0,0,56,3896,0.985626283367556,"TMMwsp",FALSE,FALSE,0.856292300494825,"batch_removed",4,4,0,FALSE,5,911773.5
10375,141,130,11,1720,0.0755813953488372,0.921985815602837,0.0780141843971631,0.1,0.2436538756286,0,0,0,56,3896,0.985626283367556,"TMMwsp",FALSE,FALSE,0.999727887089188,"batch_ignored",4,4,0,FALSE,5,911773.5
14022,87,85,2,1720,0.0494186046511628,0.977011494252874,0.0229885057471264,0.1,0.246963093574467,0,0,0,57,2802,0.984653818700928,"TMMwsp",TRUE,FALSE,1.34102363400778,"ctc_pipeline",4,5,0.35,FALSE,5,890954
10780,610,248,362,1720,0.144186046511628,0.40655737704918,0.59344262295082,0.1,0.208764085594342,0,0.00251256281407035,0,57,3940,0.985532994923858,"TMMwsp",FALSE,FALSE,0.845491118141868,"batch_removed",4,5,0.35,FALSE,5,890954
10780,218,167,51,1720,0.097093023255814,0.76605504587156,0.23394495412844,0.1,0.240348697091554,0,0,0,57,3940,0.985532994923858,"TMMwsp",FALSE,FALSE,1.05850564330956,"batch_ignored",4,5,0.35,FALSE,5,890954
13397,88,82,6,1720,0.0476744186046512,0.931818181818182,0.0681818181818182,0.1,0.202532444042965,0,0,0,66,2886,0.986139986139986,"TMMwsp",TRUE,FALSE,1.40214434810897,"ctc_pipeline",4,6,0.7,FALSE,5,936571.5
10371,1233,253,980,1720,0.147093023255814,0.205190592051906,0.794809407948094,0.1,0.153168263236514,0.00833333333333333,0.00253807106598985,1,66,4242,0.984677039132485,"TMMwsp",FALSE,FALSE,0.856798837914461,"batch_removed",4,6,0.7,FALSE,5,936571.5
10371,334,140,194,1720,0.0813953488372093,0.419161676646707,0.580838323353293,0.1,0.183742873161951,0,0,0,66,4242,0.984677039132485,"TMMwsp",FALSE,FALSE,1.3211869080811,"batch_ignored",4,6,0.7,FALSE,5,936571.5
13347,125,119,6,1720,0.0691860465116279,0.952,0.048,0.1,0.263639011563908,0,0,0,57,3604,0.985016648168701,"TMMwsp",TRUE,FALSE,1.1589478612092,"ctc_pipeline",5,1,0,TRUE,5,1005667.5
11245,180,147,33,1720,0.0854651162790698,0.816666666666667,0.183333333333333,0.1,0.244048842441896,0,0,0,57,3953,0.985580571717683,"TMMwsp",FALSE,FALSE,0.848649526546743,"batch_removed",5,1,0,TRUE,5,1005667.5
11245,145,135,10,1720,0.0784883720930233,0.931034482758621,0.0689655172413793,0.1,0.259096266987239,0,0,0,57,3953,0.985580571717683,"TMMwsp",FALSE,FALSE,0.948683959276764,"batch_ignored",5,1,0,TRUE,5,1005667.5
12800,156,145,11,1720,0.0843023255813953,0.92948717948718,0.0705128205128205,0.1,0.268661644239646,0,0,0,64,3646,0.983269336258914,"TMMwsp",TRUE,FALSE,1.20796920176736,"ctc_pipeline",5,2,0.35,TRUE,5,945827
10618,220,171,49,1720,0.0994186046511628,0.777272727272727,0.222727272727273,0.1,0.24301150403378,0,0,0,64,3935,0.983735705209657,"TMMwsp",FALSE,FALSE,0.864235217424906,"batch_removed",5,2,0.35,TRUE,5,945827
10618,133,128,5,1720,0.0744186046511628,0.962406015037594,0.037593984962406,0.1,0.258759276022304,0,0,0,64,3935,0.983735705209657,"TMMwsp",FALSE,FALSE,1.07972217142136,"batch_ignored",5,2,0.35,TRUE,5,945827
12296,124,118,6,1720,0.0686046511627907,0.951612903225806,0.0483870967741935,0.1,0.239284210030146,0,0,0,71,3685,0.981818181818182,"TMMwsp",TRUE,FALSE,1.27816481987843,"ctc_pipeline",5,3,0.7,TRUE,5,910115.5
10006,158,131,27,1720,0.0761627906976744,0.829113924050633,0.170886075949367,0.1,0.219837400384641,0,0,0,71,3971,0.98212037270209,"TMMwsp",FALSE,FALSE,0.902894982572921,"batch_removed",5,3,0.7,TRUE,5,910115.5
10006,68,66,2,1720,0.0383720930232558,0.970588235294118,0.0294117647058824,0.1,0.221384491936419,0,0,0,71,3971,0.98212037270209,"TMMwsp",FALSE,FALSE,1.43432798177245,"batch_ignored",5,3,0.7,TRUE,5,910115.5
