"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","n_per_group","median_lib"
11724,231,216,15,1720,0.125581395348837,0.935064935064935,0.0649350649350649,0.1,0.314266560663969,0,0.00254452926208651,0,78,3601,0.978339350180505,"TMMwsp",TRUE,FALSE,1.10978650086658,"ctc_pipeline",1,3,8,1079403.5
4718,195,191,4,1720,0.111046511627907,0.97948717948718,0.0205128205128205,0.05,0.243831725215103,0,0.00254452926208651,0,0,0,NA,"TMM",TRUE,FALSE,0.654936273408518,"edger_default",1,3,8,1079403.5
8326,204,199,5,1720,0.115697674418605,0.975490196078431,0.0245098039215686,0.1,0.276992740620876,0,0.00254452926208651,0,78,3608,0.978381374722838,"TMMwsp",TRUE,FALSE,0.701891373633142,"ablate_filter",1,3,8,1079403.5
8123,242,227,15,1720,0.131976744186047,0.93801652892562,0.0619834710743802,0.1,0.285842138734989,0,0.00254452926208651,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.06207342287533,"ablate_exclusive",1,3,8,1079403.5
11724,230,214,16,1720,0.124418604651163,0.930434782608696,0.0695652173913043,0.1,0.314408331226025,0,0.00254452926208651,0,78,3601,0.978339350180505,"TMM",TRUE,FALSE,1.11989905243159,"ablate_tmmwsp",1,3,8,1079403.5
11724,231,216,15,1720,0.125581395348837,0.935064935064935,0.0649350649350649,0.1,0.314233488162996,0,0.00254452926208651,0,78,3601,0.978339350180505,"TMMwsp",TRUE,FALSE,1.10978650086658,"ablate_priorcount",1,3,8,1079403.5
11724,192,186,6,1720,0.108139534883721,0.96875,0.03125,0.05,0.314185728753695,0,0.00254452926208651,0,78,3601,0.978339350180505,"TMMwsp",TRUE,FALSE,1.10978650086658,"ablate_fdr",1,3,8,1079403.5
11724,231,216,15,1720,0.125581395348837,0.935064935064935,0.0649350649350649,0.1,0.314211732634167,0,0.00254452926208651,0,78,3601,0.978339350180505,"TMMwsp",TRUE,FALSE,1.10978650086658,"ablate_shrinkfloor",1,3,8,1079403.5
11724,231,216,15,1720,0.125581395348837,0.935064935064935,0.0649350649350649,0.1,0.314406860062651,0,0.00254452926208651,0,78,3601,0.978339350180505,"TMMwsp",TRUE,FALSE,1.10978650086658,"ablate_lowinput",1,3,8,1079403.5
10226,262,221,41,1720,0.128488372093023,0.843511450381679,0.156488549618321,0.1,0.286290763041014,0,0.00254452926208651,0,78,3608,0.978381374722838,"TMMwsp",FALSE,FALSE,0.911345671381898,"batch_removed",1,3,8,1079403.5
10226,206,194,12,1720,0.112790697674419,0.941747572815534,0.058252427184466,0.1,0.298653642165958,0,0.00254452926208651,0,78,3608,0.978381374722838,"TMMwsp",FALSE,FALSE,1.04289096070189,"batch_ignored",1,3,8,1079403.5
11724,231,216,15,1720,0.125581395348837,0.935064935064935,0.0649350649350649,0.1,0.314425637334643,0,0.00254452926208651,0,78,3601,0.978339350180505,"TMMwsp",TRUE,FALSE,1.10978650086658,"fix_filter",1,3,8,1079403.5
11823,54,54,0,1720,0.0313953488372093,1,0,0.1,0.196376577401804,0,0,0,36,3298,0.989387507580352,"TMMwsp",TRUE,FALSE,1.19775600733469,"ctc_pipeline",2,1,3,778545.5
