"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","lib_lo","lib_hi","n_per_group","median_lib"
8104,131,128,3,1720,0.0744186046511628,0.977099236641221,0.0229007633587786,0.1,0.224310441734168,0,0.00472813238770686,0,51,4102,0.987567040468064,"TMMwsp",TRUE,FALSE,0.815377682076671,"ablate_filter",2,2,3e+05,9e+05,5,509449
14624,216,209,7,1720,0.121511627906977,0.967592592592593,0.0324074074074074,0.1,0.330486211451154,0,0,0,104,3209,0.973511997507012,"TMMwsp",TRUE,FALSE,1.01936124080004,"ctc_pipeline",2,3,1e+06,3e+06,5,2298083
14624,216,209,7,1720,0.121511627906977,0.967592592592593,0.0324074074074074,0.1,0.330390735852028,0,0,0,104,3209,0.973511997507012,"TMMwsp",TRUE,FALSE,1.01936124080004,"fix_filter",2,3,1e+06,3e+06,5,2298083
10265,234,221,13,1720,0.128488372093023,0.944444444444444,0.0555555555555556,0.1,0.315351732521875,0,0,0,104,3515,0.970412517780939,"TMMwsp",TRUE,FALSE,0.663145388479324,"ablate_filter",2,3,1e+06,3e+06,5,2298083
17470,379,360,19,1720,0.209302325581395,0.949868073878628,0.050131926121372,0.1,0.462283866510446,0.075,0.0153846153846154,0,119,2420,0.988842975206612,"TMMwsp",TRUE,FALSE,0.710560942728888,"ctc_pipeline",2,4,5e+06,1.5e+07,5,11179531.5
17211,381,362,19,1720,0.21046511627907,0.9501312335958,0.0498687664041995,0.1,0.46241895475427,0.0916666666666667,0.0153846153846154,0,119,2736,0.989035087719298,"TMMwsp",TRUE,FALSE,0.702919030117015,"fix_filter",2,4,5e+06,1.5e+07,5,11179531.5
14023,409,378,31,1720,0.219767441860465,0.924205378973105,0.0757946210268949,0.1,0.451314578944068,0.1,0.0128205128205128,3,119,3069,0.970348647768003,"TMMwsp",TRUE,FALSE,0.544039569383231,"ablate_filter",2,4,5e+06,1.5e+07,5,11179531.5
18919,732,682,50,1720,0.396511627906977,0.931693989071038,0.0683060109289618,0.1,0.633267032031725,0.983333333333333,0.0833333333333333,0,120,703,1,"TMMwsp",TRUE,FALSE,0.427480659527856,"ctc_pipeline",2,5,2e+07,6e+07,5,47140150
18577,748,690,58,1720,0.401162790697674,0.922459893048128,0.0775401069518717,0.1,0.632555685479902,0.983333333333333,0.0860215053763441,0,120,1708,0.999414519906323,"TMMwsp",TRUE,FALSE,0.417950409144228,"fix_filter",2,5,2e+07,6e+07,5,47140150
17598,759,698,61,1720,0.405813953488372,0.919631093544137,0.080368906455863,0.1,0.630167474822183,0.983333333333333,0.0860215053763441,2,120,1818,0.997799779977998,"TMMwsp",TRUE,FALSE,0.385099353682751,"ablate_filter",2,5,2e+07,6e+07,5,47140150
9476,59,55,4,1720,0.0319767441860465,0.932203389830508,0.0677966101694915,0.1,0.177074433719352,0,0,0,19,3796,0.994994731296101,"TMMwsp",TRUE,FALSE,1.65152775929977,"ctc_pipeline",3,1,1e+05,3e+05,5,214909
9476,59,55,4,1720,0.0319767441860465,0.932203389830508,0.0677966101694915,0.1,0.176432550419344,0,0,0,19,3796,0.994994731296101,"TMMwsp",TRUE,FALSE,1.65152775929977,"fix_filter",3,1,1e+05,3e+05,5,214909
6425,62,58,4,1720,0.0337209302325581,0.935483870967742,0.0645161290322581,0.1,0.169279897846111,0,0,0,19,4065,0.995325953259533,"TMMwsp",TRUE,FALSE,1.01828116060774,"ablate_filter",3,1,1e+05,3e+05,5,214909
11237,107,105,2,1720,0.061046511627907,0.981308411214953,0.0186915887850467,0.1,0.22165869449765,0,0,0,34,3803,0.991059689718643,"TMMwsp",TRUE,FALSE,1.45106400207541,"ctc_pipeline",3,2,3e+05,9e+05,5,540248
11237,107,105,2,1720,0.061046511627907,0.981308411214953,0.0186915887850467,0.1,0.221907746383743,0,0,0,34,3803,0.991059689718643,"TMMwsp",TRUE,FALSE,1.45106400207541,"fix_filter",3,2,3e+05,9e+05,5,540248
7521,109,107,2,1720,0.0622093023255814,0.981651376146789,0.018348623853211,0.1,0.203496203715311,0,0,0,34,4055,0.991615289765721,"TMMwsp",TRUE,FALSE,0.895003092349606,"ablate_filter",3,2,3e+05,9e+05,5,540248
14485,224,217,7,1720,0.126162790697674,0.96875,0.03125,0.1,0.352625909817782,0,0.00742574257425743,0,114,3254,0.979102642901045,"TMMwsp",TRUE,FALSE,1.04703146106421,"ctc_pipeline",3,3,1e+06,3e+06,5,1791173
14485,224,217,7,1720,0.126162790697674,0.96875,0.03125,0.1,0.352445979892614,0,0.00742574257425743,0,114,3254,0.979102642901045,"TMMwsp",TRUE,FALSE,1.04703146106421,"fix_filter",3,3,1e+06,3e+06,5,1791173
10197,233,225,8,1720,0.130813953488372,0.965665236051502,0.0343347639484979,0.1,0.330845368486621,0,0.00495049504950495,0,114,3652,0.968784227820372,"TMMwsp",TRUE,FALSE,0.696495814478364,"ablate_filter",3,3,1e+06,3e+06,5,1791173
17840,447,423,24,1720,0.24593023255814,0.946308724832215,0.0536912751677852,0.1,0.512121600739101,0.158333333333333,0.0152284263959391,1,120,2059,0.983972802331229,"TMMwsp",TRUE,FALSE,0.629405021077468,"ctc_pipeline",3,4,5e+06,1.5e+07,5,9841228
17627,451,426,25,1720,0.247674418604651,0.944567627494457,0.0554323725055432,0.1,0.512269386252296,0.158333333333333,0.0152284263959391,1,120,2298,0.983899042645779,"TMMwsp",TRUE,FALSE,0.623656432961922,"fix_filter",3,4,5e+06,1.5e+07,5,9841228
14316,468,440,28,1720,0.255813953488372,0.94017094017094,0.0598290598290598,0.1,0.491654935798757,0.15,0.0152284263959391,5,120,2592,0.960648148148148,"TMMwsp",TRUE,FALSE,0.474448852795596,"ablate_filter",3,4,5e+06,1.5e+07,5,9841228
18259,668,614,54,1720,0.356976744186047,0.919161676646707,0.0808383233532934,0.1,0.588210746334568,0.983333333333333,0.0392156862745098,1,120,951,0.997896950578339,"TMMwsp",TRUE,FALSE,0.495768080108214,"ctc_pipeline",3,5,2e+07,6e+07,5,47941832.5
17811,673,617,56,1720,0.358720930232558,0.916790490341753,0.0832095096582467,0.1,0.587713650952555,0.983333333333333,0.0416666666666667,2,120,2194,0.998176845943482,"TMMwsp",TRUE,FALSE,0.4795595776054,"fix_filter",3,5,2e+07,6e+07,5,47941832.5
16798,683,625,58,1720,0.363372093023256,0.915080527086384,0.0849194729136164,0.1,0.585277965696983,0.983333333333333,0.0416666666666667,9,120,2325,0.995268817204301,"TMMwsp",TRUE,FALSE,0.438679822056144,"ablate_filter",3,5,2e+07,6e+07,5,47941832.5
8428,40,39,1,1720,0.0226744186046512,0.975,0.025,0.1,0.152743018623401,0,0,0,17,3669,0.995366584900518,"TMMwsp",TRUE,FALSE,1.75607960365592,"ctc_pipeline",4,1,1e+05,3e+05,5,157375
8428,40,39,1,1720,0.0226744186046512,0.975,0.025,0.1,0.15264624785143,0,0,0,17,3669,0.995366584900518,"TMMwsp",TRUE,FALSE,1.75607960365592,"fix_filter",4,1,1e+05,3e+05,5,157375
5683,45,44,1,1720,0.0255813953488372,0.977777777777778,0.0222222222222222,0.1,0.144919907693968,0,0,0,17,3898,0.995638789122627,"TMMwsp",TRUE,FALSE,1.04777791286856,"ablate_filter",4,1,1e+05,3e+05,5,157375
12192,112,110,2,1720,0.063953488372093,0.982142857142857,0.0178571428571429,0.1,0.25035288141024,0,0,0,66,3707,0.982195845697329,"TMMwsp",TRUE,FALSE,1.34337416502595,"ctc_pipeline",4,2,3e+05,9e+05,5,711752.5
12192,112,110,2,1720,0.063953488372093,0.982142857142857,0.0178571428571429,0.1,0.250133075619713,0,0,0,66,3707,0.982195845697329,"TMMwsp",TRUE,FALSE,1.34337416502595,"fix_filter",4,2,3e+05,9e+05,5,711752.5
8393,132,124,8,1720,0.072093023255814,0.93939393939394,0.0606060606060606,0.1,0.242393172961447,0,0,0,66,3997,0.983487615711784,"TMMwsp",TRUE,FALSE,0.865159157016538,"ablate_filter",4,2,3e+05,9e+05,5,711752.5
14427,180,166,14,1720,0.0965116279069767,0.922222222222222,0.0777777777777778,0.1,0.298648195499262,0,0.00244498777506112,0,93,3248,0.976908866995074,"TMMwsp",TRUE,FALSE,1.04756962889656,"ctc_pipeline",4,3,1e+06,3e+06,5,2017230.5
14427,180,166,14,1720,0.0965116279069767,0.922222222222222,0.0777777777777778,0.1,0.298742067274538,0,0.00244498777506112,0,93,3248,0.976908866995074,"TMMwsp",TRUE,FALSE,1.04756962889656,"fix_filter",4,3,1e+06,3e+06,5,2017230.5
10092,201,182,19,1720,0.105813953488372,0.90547263681592,0.0945273631840796,0.1,0.285997249765591,0,0.00244498777506112,0,93,3577,0.974000559127761,"TMMwsp",TRUE,FALSE,0.679618378324567,"ablate_filter",4,3,1e+06,3e+06,5,2017230.5
17593,427,401,26,1720,0.233139534883721,0.939110070257611,0.0608899297423888,0.1,0.496179188666455,0.225,0.0243243243243243,1,119,2317,0.985325852395339,"TMMwsp",TRUE,FALSE,0.679524259266371,"ctc_pipeline",4,4,5e+06,1.5e+07,5,9218929.5
17383,427,401,26,1720,0.233139534883721,0.939110070257611,0.0608899297423888,0.1,0.495872581314306,0.225,0.0243243243243243,1,119,2571,0.985997666277713,"TMMwsp",TRUE,FALSE,0.673300169023915,"fix_filter",4,4,5e+06,1.5e+07,5,9218929.5
13788,440,410,30,1720,0.238372093023256,0.931818181818182,0.0681818181818182,0.1,0.476577195405075,0.208333333333333,0.0243243243243243,14,119,2855,0.962872154115587,"TMMwsp",TRUE,FALSE,0.499601686946092,"ablate_filter",4,4,5e+06,1.5e+07,5,9218929.5
18896,712,654,58,1720,0.380232558139535,0.918539325842697,0.0814606741573034,0.1,0.613796844204781,0.991666666666667,0.103015075376884,0,120,725,1,"TMMwsp",TRUE,FALSE,0.422433054366514,"ctc_pipeline",4,5,2e+07,6e+07,5,39776151.5
18525,716,656,60,1720,0.381395348837209,0.916201117318436,0.0837988826815642,0.1,0.613584041060172,0.991666666666667,0.103015075376884,1,120,1666,0.999399759903962,"TMMwsp",TRUE,FALSE,0.412254730614118,"fix_filter",4,5,2e+07,6e+07,5,39776151.5
17407,728,663,65,1720,0.38546511627907,0.910714285714286,0.0892857142857143,0.1,0.608472405305263,0.991666666666667,0.103015075376884,2,120,1803,0.998890737659456,"TMMwsp",TRUE,FALSE,0.376724539871912,"ablate_filter",4,5,2e+07,6e+07,5,39776151.5
8498,32,31,1,1720,0.0180232558139535,0.96875,0.03125,0.1,0.166474209329175,0,0,0,11,3726,0.997047772410091,"TMMwsp",TRUE,FALSE,1.74064279290758,"ctc_pipeline",5,1,1e+05,3e+05,5,147512
8498,32,31,1,1720,0.0180232558139535,0.96875,0.03125,0.1,0.166703994716781,0,0,0,11,3726,0.997047772410091,"TMMwsp",TRUE,FALSE,1.74064279290758,"fix_filter",5,1,1e+05,3e+05,5,147512
5771,33,33,0,1720,0.0191860465116279,1,0,0.1,0.159114476703212,0,0,0,11,3965,0.997225725094578,"TMMwsp",TRUE,FALSE,1.04770346709994,"ablate_filter",5,1,1e+05,3e+05,5,147512
11808,124,118,6,1720,0.0686046511627907,0.951612903225806,0.0483870967741935,0.1,0.246290202294068,0,0,0,52,3698,0.986208761492699,"TMMwsp",TRUE,FALSE,1.31811806534547,"ctc_pipeline",5,2,3e+05,9e+05,5,608533
11808,124,118,6,1720,0.0686046511627907,0.951612903225806,0.0483870967741935,0.1,0.246098608190094,0,0,0,52,3698,0.986208761492699,"TMMwsp",TRUE,FALSE,1.31811806534547,"fix_filter",5,2,3e+05,9e+05,5,608533
8076,134,126,8,1720,0.0732558139534884,0.940298507462687,0.0597014925373134,0.1,0.235596537946172,0,0,0,52,3992,0.986973947895792,"TMMwsp",TRUE,FALSE,0.832112290036807,"ablate_filter",5,2,3e+05,9e+05,5,608533
14410,181,167,14,1720,0.097093023255814,0.922651933701657,0.0773480662983425,0.1,0.30111940499287,0,0,0,103,3175,0.971023622047244,"TMMwsp",TRUE,FALSE,1.05828731547475,"ctc_pipeline",5,3,1e+06,3e+06,5,2183706.5
14410,181,167,14,1720,0.097093023255814,0.922651933701657,0.0773480662983425,0.1,0.30097298542282,0,0,0,103,3175,0.971023622047244,"TMMwsp",TRUE,FALSE,1.05828731547475,"fix_filter",5,3,1e+06,3e+06,5,2183706.5
10060,200,181,19,1720,0.105232558139535,0.905,0.095,0.1,0.285753440261404,0,0,0,103,3487,0.97046171494121,"TMMwsp",TRUE,FALSE,0.695488299126014,"ablate_filter",5,3,1e+06,3e+06,5,2183706.5
17493,414,388,26,1720,0.225581395348837,0.93719806763285,0.0628019323671498,0.1,0.486261064059976,0.191666666666667,0.0201005025125628,0,119,2281,0.98860149057431,"TMMwsp",TRUE,FALSE,0.682516001365276,"ctc_pipeline",5,4,5e+06,1.5e+07,5,9527480
17285,417,390,27,1720,0.226744186046512,0.935251798561151,0.0647482014388489,0.1,0.486315650293523,0.191666666666667,0.0201005025125628,0,119,2551,0.987847902783222,"TMMwsp",TRUE,FALSE,0.676408197340766,"fix_filter",5,4,5e+06,1.5e+07,5,9527480
13907,426,397,29,1720,0.230813953488372,0.931924882629108,0.068075117370892,0.1,0.466605135677571,0.183333333333333,0.0201005025125628,4,119,2850,0.965614035087719,"TMMwsp",TRUE,FALSE,0.514353831302677,"ablate_filter",5,4,5e+06,1.5e+07,5,9527480
18820,704,649,55,1720,0.377325581395349,0.921875,0.078125,0.1,0.607090498049826,0.991666666666667,0.0930232558139535,0,120,832,1,"TMMwsp",TRUE,FALSE,0.444226489581085,"ctc_pipeline",5,5,2e+07,6e+07,5,37305294.5
18468,707,651,56,1720,0.378488372093023,0.920792079207921,0.0792079207920792,0.1,0.606526077989355,0.991666666666667,0.0930232558139535,0,120,1853,1,"TMMwsp",TRUE,FALSE,0.433610836484222,"fix_filter",5,5,2e+07,6e+07,5,37305294.5
17123,717,656,61,1720,0.381395348837209,0.914923291492329,0.0850767085076709,0.1,0.599645430794119,0.991666666666667,0.0906976744186047,2,120,1974,0.998480243161094,"TMMwsp",TRUE,FALSE,0.385645200926547,"ablate_filter",5,5,2e+07,6e+07,5,37305294.5
8823,52,50,2,1720,0.0290697674418605,0.961538461538462,0.0384615384615385,0.1,0.181479682295702,0,0,0,20,3681,0.994566693833198,"TMMwsp",TRUE,FALSE,1.70414471821209,"ctc_pipeline",6,1,1e+05,3e+05,5,181697.5
8823,52,50,2,1720,0.0290697674418605,0.961538461538462,0.0384615384615385,0.1,0.181878092670999,0,0,0,20,3681,0.994566693833198,"TMMwsp",TRUE,FALSE,1.70414471821209,"fix_filter",6,1,1e+05,3e+05,5,181697.5
5970,59,57,2,1720,0.0331395348837209,0.966101694915254,0.0338983050847458,0.1,0.174657335997326,0,0,0,20,3884,0.994850669412976,"TMMwsp",TRUE,FALSE,1.04702023720383,"ablate_filter",6,1,1e+05,3e+05,5,181697.5
11682,114,109,5,1720,0.0633720930232558,0.956140350877193,0.043859649122807,0.1,0.231743106967457,0,0,0,49,3719,0.987362194138209,"TMMwsp",TRUE,FALSE,1.34115649138739,"ctc_pipeline",6,2,3e+05,9e+05,5,492339
11682,114,109,5,1720,0.0633720930232558,0.956140350877193,0.043859649122807,0.1,0.231915481245136,0,0,0,49,3719,0.987362194138209,"TMMwsp",TRUE,FALSE,1.34115649138739,"fix_filter",6,2,3e+05,9e+05,5,492339
7693,116,113,3,1720,0.0656976744186046,0.974137931034483,0.0258620689655172,0.1,0.219128923094707,0,0,0,49,4018,0.98780487804878,"TMMwsp",TRUE,FALSE,0.79615514342137,"ablate_filter",6,2,3e+05,9e+05,5,492339
14472,218,203,15,1720,0.118023255813953,0.931192660550459,0.0688073394495413,0.1,0.322881022639185,0,0.012531328320802,0,106,3285,0.973820395738204,"TMMwsp",TRUE,FALSE,1.02275841378136,"ctc_pipeline",6,3,1e+06,3e+06,5,2388839
14472,218,203,15,1720,0.118023255813953,0.931192660550459,0.0688073394495413,0.1,0.322651056868309,0,0.012531328320802,0,106,3285,0.973820395738204,"TMMwsp",TRUE,FALSE,1.02275841378136,"fix_filter",6,3,1e+06,3e+06,5,2388839
