"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","exclusive_cpm","n_per_group","median_lib"
9238,294,271,23,1720,0.157558139534884,0.921768707482993,0.0782312925170068,0.1,0.330467930636279,0.991666666666667,0,0,120,0,NA,"TMMwsp",TRUE,FALSE,1.17759046136255,"ablate_exclusive",1,8,50,5,1157493.5
5069,276,260,16,1720,0.151162790697674,0.942028985507246,0.0579710144927536,0.05,0.302121498410629,0.991666666666667,0,0,119,0,NA,"TMM",TRUE,FALSE,0.754228069939013,"edger_default",1,8,50,5,1157493.5
12355,107,102,5,1720,0.0593023255813954,0.953271028037383,0.0467289719626168,0.1,0.239110027810576,0,0,0,7,3590,0.998050139275766,"TMMwsp",TRUE,FALSE,1.27810913058013,"ctc_pipeline",2,1,0.1,5,885271
8765,130,121,9,1720,0.0703488372093023,0.930769230769231,0.0692307692307692,0.1,0.234860846104898,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.21242075893815,"ablate_exclusive",2,1,0.1,5,885271
4490,121,114,7,1720,0.0662790697674419,0.942148760330578,0.0578512396694215,0.05,0.207115099276224,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.736348120129897,"edger_default",2,1,0.1,5,885271
13214,152,148,4,1720,0.086046511627907,0.973684210526316,0.0263157894736842,0.1,0.265811705665571,0,0.00472813238770686,0,56,3674,0.985302123026674,"TMMwsp",TRUE,FALSE,1.25530348052369,"ctc_pipeline",2,2,0.5,5,733458.5
9540,162,156,6,1720,0.0906976744186047,0.962962962962963,0.037037037037037,0.1,0.252357221972611,0,0.00472813238770686,0,2,0,NA,"TMMwsp",TRUE,FALSE,1.18709374656822,"ablate_exclusive",2,2,0.5,5,733458.5
4770,155,151,4,1720,0.0877906976744186,0.974193548387097,0.0258064516129032,0.05,0.225677287863227,0,0.00472813238770686,0,0,0,NA,"TMM",TRUE,FALSE,0.710747318311496,"edger_default",2,2,0.5,5,733458.5
12807,153,142,11,1720,0.0825581395348837,0.928104575163399,0.0718954248366013,0.1,0.268372271817528,0,0,0,75,3683,0.980993755090958,"TMMwsp",TRUE,FALSE,1.22748089963766,"ctc_pipeline",2,3,1,5,1033279
9124,164,153,11,1720,0.088953488372093,0.932926829268293,0.0670731707317073,0.1,0.255991576015916,0,0,0,5,0,NA,"TMMwsp",TRUE,FALSE,1.16420595907803,"ablate_exclusive",2,3,1,5,1033279
4839,152,143,9,1720,0.0831395348837209,0.94078947368421,0.0592105263157895,0.05,0.233032599257995,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.703239985943648,"edger_default",2,3,1,5,1033279
12271,111,110,1,1720,0.063953488372093,0.990990990990991,0.00900900900900901,0.1,0.247721610446517,0,0,0,90,3876,0.980650154798762,"TMMwsp",TRUE,FALSE,1.28155141915955,"ctc_pipeline",2,4,2,5,1004312
8395,128,121,7,1720,0.0703488372093023,0.9453125,0.0546875,0.1,0.235387755964425,0,0,0,15,0,NA,"TMMwsp",TRUE,FALSE,1.20502878588237,"ablate_exclusive",2,4,2,5,1004312
4362,119,116,3,1720,0.0674418604651163,0.974789915966387,0.0252100840336134,0.05,0.209441116996171,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.751974612241306,"edger_default",2,4,2,5,1004312
13286,167,163,4,1720,0.0947674418604651,0.976047904191617,0.0239520958083832,0.1,0.322515061916975,0,0,0,118,3545,0.981664315937941,"TMMwsp",TRUE,FALSE,1.21824139840083,"ctc_pipeline",2,5,5,5,1101875.5
9741,180,175,5,1720,0.101744186046512,0.972222222222222,0.0277777777777778,0.1,0.297942516156579,0,0,0,53,0,NA,"TMMwsp",TRUE,FALSE,1.16178262397443,"ablate_exclusive",2,5,5,5,1101875.5
5562,168,164,4,1720,0.0953488372093023,0.976190476190476,0.0238095238095238,0.05,0.258698146942787,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.770921555728651,"edger_default",2,5,5,5,1101875.5
12964,153,149,4,1720,0.0866279069767442,0.973856209150327,0.0261437908496732,0.1,0.317622708306677,0.0333333333333333,0.00238663484486874,0,120,3656,0.991794310722101,"TMMwsp",TRUE,FALSE,1.22421919836788,"ctc_pipeline",2,6,10,5,1019124.5
9308,171,161,10,1720,0.0936046511627907,0.941520467836257,0.0584795321637427,0.1,0.303042608123937,0.0583333333333333,0.00238663484486874,0,90,0,NA,"TMMwsp",TRUE,FALSE,1.16555600081894,"ablate_exclusive",2,6,10,5,1019124.5
5055,162,154,8,1720,0.0895348837209302,0.950617283950617,0.0493827160493827,0.05,0.239182338856263,0.0416666666666667,0.00238663484486874,0,15,0,NA,"TMM",TRUE,FALSE,0.742872425416165,"edger_default",2,6,10,5,1019124.5
12359,205,200,5,1720,0.116279069767442,0.975609756097561,0.024390243902439,0.1,0.321381113110891,0.616666666666667,0,2,120,3661,0.996995356459984,"TMMwsp",TRUE,FALSE,1.31887093199463,"ctc_pipeline",2,7,20,5,1059754.5
8698,227,220,7,1720,0.127906976744186,0.969162995594714,0.0308370044052863,0.1,0.308114667269135,0.666666666666667,0,0,109,0,NA,"TMMwsp",TRUE,FALSE,1.25769871441338,"ablate_exclusive",2,7,20,5,1059754.5
4704,198,191,7,1720,0.111046511627907,0.964646464646465,0.0353535353535354,0.05,0.256305047807444,0.541666666666667,0,0,71,0,NA,"TMM",TRUE,FALSE,0.839501768505485,"edger_default",2,7,20,5,1059754.5
12925,300,285,15,1720,0.165697674418605,0.95,0.05,0.1,0.343114575938861,0.991666666666667,0,0,120,3512,1,"TMMwsp",TRUE,FALSE,1.22670004945156,"ctc_pipeline",2,8,50,5,779873.5
9413,313,294,19,1720,0.17093023255814,0.939297124600639,0.060702875399361,0.1,0.332066241272711,1,0,0,120,0,NA,"TMMwsp",TRUE,FALSE,1.17803164663435,"ablate_exclusive",2,8,50,5,779873.5
4829,290,276,14,1720,0.16046511627907,0.951724137931034,0.0482758620689655,0.05,0.298739125392092,0.966666666666667,0,0,116,0,NA,"TMM",TRUE,FALSE,0.702719809237901,"edger_default",2,8,50,5,779873.5
13120,166,153,13,1720,0.088953488372093,0.921686746987952,0.0783132530120482,0.1,0.287898535123132,0,0,0,7,3324,0.997894103489771,"TMMwsp",TRUE,FALSE,1.18890629080501,"ctc_pipeline",3,1,0.1,5,1068889
9796,190,175,15,1720,0.101744186046512,0.921052631578947,0.0789473684210526,0.1,0.277607597792145,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.13939565256215,"ablate_exclusive",3,1,0.1,5,1068889
5396,168,161,7,1720,0.0936046511627907,0.958333333333333,0.0416666666666667,0.05,0.254588530578473,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.714830095245352,"edger_default",3,1,0.1,5,1068889
12208,119,115,4,1720,0.0668604651162791,0.966386554621849,0.0336134453781513,0.1,0.234063916764737,0,0,0,35,3779,0.990738290553056,"TMMwsp",TRUE,FALSE,1.3051055492368,"ctc_pipeline",3,2,0.5,5,744337.5
8429,137,127,10,1720,0.0738372093023256,0.927007299270073,0.072992700729927,0.1,0.224056418108047,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.23583263633008,"ablate_exclusive",3,2,0.5,5,744337.5
4099,130,124,6,1720,0.072093023255814,0.953846153846154,0.0461538461538462,0.05,0.207276865582055,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.717390021954648,"edger_default",3,2,0.5,5,744337.5
12532,146,140,6,1720,0.0813953488372093,0.958904109589041,0.0410958904109589,0.1,0.274216770406847,0,0,0,97,3735,0.978313253012048,"TMMwsp",TRUE,FALSE,1.26688615552218,"ctc_pipeline",3,3,1,5,810061.5
