"arm","perm","mode","n_tested","n_significant","batch_in_model","failed"
"ablate_exclusive",37,"balanced",10407,1389,TRUE,FALSE
"ablate_tmmwsp",37,"balanced",13304,1983,TRUE,FALSE
"ablate_priorcount",37,"balanced",13304,1571,TRUE,FALSE
"ablate_fdr",37,"balanced",13304,918,TRUE,FALSE
"ablate_shrinkfloor",37,"balanced",13304,1571,TRUE,FALSE
"ablate_lowinput",37,"balanced",13304,1571,TRUE,FALSE
"batch_removed",37,"balanced",8702,3279,FALSE,FALSE
"batch_ignored",37,"balanced",8702,3101,FALSE,FALSE
"fix_filter",37,"balanced",13254,1561,TRUE,FALSE
"ctc_pipeline",38,"balanced",13289,1485,TRUE,FALSE
"edger_default",38,"balanced",6156,412,TRUE,FALSE
"ablate_filter",38,"balanced",9039,928,TRUE,FALSE
"ablate_exclusive",38,"balanced",10407,1227,TRUE,FALSE
"ablate_tmmwsp",38,"balanced",13289,1443,TRUE,FALSE
"ablate_priorcount",38,"balanced",13289,1485,TRUE,FALSE
"ablate_fdr",38,"balanced",13289,768,TRUE,FALSE
"ablate_shrinkfloor",38,"balanced",13289,1485,TRUE,FALSE
"ablate_lowinput",38,"balanced",13289,1485,TRUE,FALSE
"batch_removed",38,"balanced",8670,2697,FALSE,FALSE
"batch_ignored",38,"balanced",8670,3007,FALSE,FALSE
"fix_filter",38,"balanced",13238,1479,TRUE,FALSE
"ctc_pipeline",39,"balanced",13242,875,TRUE,FALSE
"edger_default",39,"balanced",6156,156,TRUE,FALSE
"ablate_filter",39,"balanced",8996,416,TRUE,FALSE
"ablate_exclusive",39,"balanced",10407,676,TRUE,FALSE
"ablate_tmmwsp",39,"balanced",13242,864,TRUE,FALSE
"ablate_priorcount",39,"balanced",13242,875,TRUE,FALSE
"ablate_fdr",39,"balanced",13242,446,TRUE,FALSE
"ablate_shrinkfloor",39,"balanced",13242,875,TRUE,FALSE
"ablate_lowinput",39,"balanced",13242,875,TRUE,FALSE
"batch_removed",39,"balanced",8627,2446,FALSE,FALSE
"batch_ignored",39,"balanced",8627,2945,FALSE,FALSE
"fix_filter",39,"balanced",13191,868,TRUE,FALSE
"ctc_pipeline",40,"balanced",13135,1216,TRUE,FALSE
"edger_default",40,"balanced",6156,260,TRUE,FALSE
"ablate_filter",40,"balanced",8885,665,TRUE,FALSE
"ablate_exclusive",40,"balanced",10407,1016,TRUE,FALSE
"ablate_tmmwsp",40,"balanced",13135,1175,TRUE,FALSE
"ablate_priorcount",40,"balanced",13135,1216,TRUE,FALSE
"ablate_fdr",40,"balanced",13135,657,TRUE,FALSE
"ablate_shrinkfloor",40,"balanced",13135,1216,TRUE,FALSE
"ablate_lowinput",40,"balanced",13135,1216,TRUE,FALSE
"batch_removed",40,"balanced",8516,2530,FALSE,FALSE
"batch_ignored",40,"balanced",8516,2917,FALSE,FALSE
"fix_filter",40,"balanced",13084,1209,TRUE,FALSE
"ctc_pipeline",41,"balanced",13224,1261,TRUE,FALSE
"edger_default",41,"balanced",6156,326,TRUE,FALSE
"ablate_filter",41,"balanced",8978,728,TRUE,FALSE
"ablate_exclusive",41,"balanced",10407,1007,TRUE,FALSE
"ablate_tmmwsp",41,"balanced",13224,1342,TRUE,FALSE
"ablate_priorcount",41,"balanced",13224,1261,TRUE,FALSE
"ablate_fdr",41,"balanced",13224,637,TRUE,FALSE
"ablate_shrinkfloor",41,"balanced",13224,1261,TRUE,FALSE
"ablate_lowinput",41,"balanced",13224,1261,TRUE,FALSE
"batch_removed",41,"balanced",8609,2608,FALSE,FALSE
"batch_ignored",41,"balanced",8609,2987,FALSE,FALSE
"fix_filter",41,"balanced",13175,1256,TRUE,FALSE
"ctc_pipeline",42,"balanced",13153,1177,TRUE,FALSE
"edger_default",42,"balanced",6156,273,TRUE,FALSE
"ablate_filter",42,"balanced",8904,622,TRUE,FALSE
"ablate_exclusive",42,"balanced",10407,957,TRUE,FALSE
"ablate_tmmwsp",42,"balanced",13153,1192,TRUE,FALSE
"ablate_priorcount",42,"balanced",13153,1177,TRUE,FALSE
"ablate_fdr",42,"balanced",13153,648,TRUE,FALSE
"ablate_shrinkfloor",42,"balanced",13153,1177,TRUE,FALSE
"ablate_lowinput",42,"balanced",13153,1177,TRUE,FALSE
"batch_removed",42,"balanced",8535,2557,FALSE,FALSE
"batch_ignored",42,"balanced",8535,2834,FALSE,FALSE
"fix_filter",42,"balanced",13102,1165,TRUE,FALSE
"ctc_pipeline",43,"balanced",13201,994,TRUE,FALSE
"edger_default",43,"balanced",6156,185,TRUE,FALSE
"ablate_filter",43,"balanced",8950,515,TRUE,FALSE
"ablate_exclusive",43,"balanced",10407,811,TRUE,FALSE
"ablate_tmmwsp",43,"balanced",13201,971,TRUE,FALSE
"ablate_priorcount",43,"balanced",13201,994,TRUE,FALSE
"ablate_fdr",43,"balanced",13201,510,TRUE,FALSE
"ablate_shrinkfloor",43,"balanced",13201,994,TRUE,FALSE
"ablate_lowinput",43,"balanced",13201,994,TRUE,FALSE
"batch_removed",43,"balanced",8581,2492,FALSE,FALSE
"batch_ignored",43,"balanced",8581,2815,FALSE,FALSE
"fix_filter",43,"balanced",13150,992,TRUE,FALSE
"ctc_pipeline",44,"balanced",13212,1081,TRUE,FALSE
"edger_default",44,"balanced",6156,159,TRUE,FALSE
"ablate_filter",44,"balanced",8964,530,TRUE,FALSE
"ablate_exclusive",44,"balanced",10407,782,TRUE,FALSE
"ablate_tmmwsp",44,"balanced",13212,1131,TRUE,FALSE
"ablate_priorcount",44,"balanced",13212,1081,TRUE,FALSE
"ablate_fdr",44,"balanced",13212,555,TRUE,FALSE
"ablate_shrinkfloor",44,"balanced",13212,1081,TRUE,FALSE
"ablate_lowinput",44,"balanced",13212,1081,TRUE,FALSE
"batch_removed",44,"balanced",8595,2537,FALSE,FALSE
"batch_ignored",44,"balanced",8595,2904,FALSE,FALSE
"fix_filter",44,"balanced",13162,1071,TRUE,FALSE
"ctc_pipeline",45,"balanced",13213,1182,TRUE,FALSE
"edger_default",45,"balanced",6156,248,TRUE,FALSE
"ablate_filter",45,"balanced",8970,632,TRUE,FALSE
"ablate_exclusive",45,"balanced",10407,987,TRUE,FALSE
"ablate_tmmwsp",45,"balanced",13213,1148,TRUE,FALSE
"ablate_priorcount",45,"balanced",13213,1182,TRUE,FALSE
"ablate_fdr",45,"balanced",13213,620,TRUE,FALSE
"ablate_shrinkfloor",45,"balanced",13213,1182,TRUE,FALSE
"ablate_lowinput",45,"balanced",13213,1182,TRUE,FALSE
"batch_removed",45,"balanced",8601,2545,FALSE,FALSE
"batch_ignored",45,"balanced",8601,2930,FALSE,FALSE
"fix_filter",45,"balanced",13162,1177,TRUE,FALSE
"ctc_pipeline",46,"balanced",13126,1236,TRUE,FALSE
"edger_default",46,"balanced",6156,291,TRUE,FALSE
"ablate_filter",46,"balanced",8876,682,TRUE,FALSE
"ablate_exclusive",46,"balanced",10407,956,TRUE,FALSE
"ablate_tmmwsp",46,"balanced",13126,1201,TRUE,FALSE
"ablate_priorcount",46,"balanced",13126,1236,TRUE,FALSE
"ablate_fdr",46,"balanced",13126,707,TRUE,FALSE
"ablate_shrinkfloor",46,"balanced",13126,1236,TRUE,FALSE
"ablate_lowinput",46,"balanced",13126,1236,TRUE,FALSE
"batch_removed",46,"balanced",8507,2537,FALSE,FALSE
"batch_ignored",46,"balanced",8507,2905,FALSE,FALSE
"fix_filter",46,"balanced",13075,1223,TRUE,FALSE
"ctc_pipeline",47,"balanced",13208,1148,TRUE,FALSE
"edger_default",47,"balanced",6156,264,TRUE,FALSE
"ablate_filter",47,"balanced",8958,676,TRUE,FALSE
"ablate_exclusive",47,"balanced",10407,912,TRUE,FALSE
"ablate_tmmwsp",47,"balanced",13208,1260,TRUE,FALSE
"ablate_priorcount",47,"balanced",13208,1148,TRUE,FALSE
"ablate_fdr",47,"balanced",13208,614,TRUE,FALSE
"ablate_shrinkfloor",47,"balanced",13208,1148,TRUE,FALSE
"ablate_lowinput",47,"balanced",13208,1148,TRUE,FALSE
"batch_removed",47,"balanced",8589,2621,FALSE,FALSE
"batch_ignored",47,"balanced",8589,2985,FALSE,FALSE
"fix_filter",47,"balanced",13157,1140,TRUE,FALSE
"ctc_pipeline",48,"balanced",13218,1183,TRUE,FALSE
"edger_default",48,"balanced",6156,221,TRUE,FALSE
"ablate_filter",48,"balanced",8970,576,TRUE,FALSE
"ablate_exclusive",48,"balanced",10407,936,TRUE,FALSE
"ablate_tmmwsp",48,"balanced",13218,1215,TRUE,FALSE
"ablate_priorcount",48,"balanced",13218,1183,TRUE,FALSE
"ablate_fdr",48,"balanced",13218,650,TRUE,FALSE
"ablate_shrinkfloor",48,"balanced",13218,1183,TRUE,FALSE
"ablate_lowinput",48,"balanced",13218,1183,TRUE,FALSE
"batch_removed",48,"balanced",8601,2571,FALSE,FALSE
"batch_ignored",48,"balanced",8601,2905,FALSE,FALSE
"fix_filter",48,"balanced",13167,1185,TRUE,FALSE
"ctc_pipeline",49,"balanced",13219,916,TRUE,FALSE
"edger_default",49,"balanced",6156,205,TRUE,FALSE
"ablate_filter",49,"balanced",8970,475,TRUE,FALSE
"ablate_exclusive",49,"balanced",10407,778,TRUE,FALSE
"ablate_tmmwsp",49,"balanced",13219,963,TRUE,FALSE
"ablate_priorcount",49,"balanced",13219,916,TRUE,FALSE
"ablate_fdr",49,"balanced",13219,468,TRUE,FALSE
"ablate_shrinkfloor",49,"balanced",13219,916,TRUE,FALSE
"ablate_lowinput",49,"balanced",13219,916,TRUE,FALSE
"batch_removed",49,"balanced",8601,2558,FALSE,FALSE
"batch_ignored",49,"balanced",8601,2752,FALSE,FALSE
"fix_filter",49,"balanced",13168,931,TRUE,FALSE
"ctc_pipeline",50,"balanced",13231,1060,TRUE,FALSE
"edger_default",50,"balanced",6156,189,TRUE,FALSE
"ablate_filter",50,"balanced",8981,563,TRUE,FALSE
"ablate_exclusive",50,"balanced",10407,808,TRUE,FALSE
"ablate_tmmwsp",50,"balanced",13231,1113,TRUE,FALSE
"ablate_priorcount",50,"balanced",13231,1060,TRUE,FALSE
"ablate_fdr",50,"balanced",13231,476,TRUE,FALSE
"ablate_shrinkfloor",50,"balanced",13231,1060,TRUE,FALSE
"ablate_lowinput",50,"balanced",13231,1060,TRUE,FALSE
"batch_removed",50,"balanced",8612,2476,FALSE,FALSE
"batch_ignored",50,"balanced",8612,2876,FALSE,FALSE
"fix_filter",50,"balanced",13180,1039,TRUE,FALSE
