"arm","perm","mode","n_tested","n_significant","batch_in_model","failed"
"ablate_exclusive",8,"balanced",10407,984,TRUE,FALSE
"ablate_tmmwsp",8,"balanced",13164,1266,TRUE,FALSE
"ablate_priorcount",8,"balanced",13164,1213,TRUE,FALSE
"ablate_fdr",8,"balanced",13164,681,TRUE,FALSE
"ablate_shrinkfloor",8,"balanced",13164,1213,TRUE,FALSE
"ablate_lowinput",8,"balanced",13164,1213,TRUE,FALSE
"batch_removed",8,"balanced",8547,2538,FALSE,FALSE
"batch_ignored",8,"balanced",8547,2848,FALSE,FALSE
"fix_filter",8,"balanced",13114,1203,TRUE,FALSE
"ctc_pipeline",9,"balanced",13273,923,TRUE,FALSE
"edger_default",9,"balanced",6156,226,TRUE,FALSE
"ablate_filter",9,"balanced",9032,471,TRUE,FALSE
"ablate_exclusive",9,"balanced",10407,737,TRUE,FALSE
"ablate_tmmwsp",9,"balanced",13273,926,TRUE,FALSE
"ablate_priorcount",9,"balanced",13273,923,TRUE,FALSE
"ablate_fdr",9,"balanced",13273,488,TRUE,FALSE
"ablate_shrinkfloor",9,"balanced",13273,923,TRUE,FALSE
"ablate_lowinput",9,"balanced",13273,923,TRUE,FALSE
"batch_removed",9,"balanced",8663,2503,FALSE,FALSE
"batch_ignored",9,"balanced",8663,2892,FALSE,FALSE
"fix_filter",9,"balanced",13222,913,TRUE,FALSE
"ctc_pipeline",10,"balanced",13145,938,TRUE,FALSE
"edger_default",10,"balanced",6156,199,TRUE,FALSE
"ablate_filter",10,"balanced",8895,428,TRUE,FALSE
"ablate_exclusive",10,"balanced",10407,786,TRUE,FALSE
"ablate_tmmwsp",10,"balanced",13145,961,TRUE,FALSE
"ablate_priorcount",10,"balanced",13145,938,TRUE,FALSE
"ablate_fdr",10,"balanced",13145,431,TRUE,FALSE
"ablate_shrinkfloor",10,"balanced",13145,938,TRUE,FALSE
"ablate_lowinput",10,"balanced",13145,938,TRUE,FALSE
"batch_removed",10,"balanced",8526,2492,FALSE,FALSE
"batch_ignored",10,"balanced",8526,2819,FALSE,FALSE
"fix_filter",10,"balanced",13094,923,TRUE,FALSE
"ctc_pipeline",11,"balanced",13223,1171,TRUE,FALSE
"edger_default",11,"balanced",6156,232,TRUE,FALSE
"ablate_filter",11,"balanced",8977,609,TRUE,FALSE
"ablate_exclusive",11,"balanced",10407,886,TRUE,FALSE
"ablate_tmmwsp",11,"balanced",13223,1279,TRUE,FALSE
"ablate_priorcount",11,"balanced",13223,1171,TRUE,FALSE
"ablate_fdr",11,"balanced",13223,646,TRUE,FALSE
"ablate_shrinkfloor",11,"balanced",13223,1171,TRUE,FALSE
"ablate_lowinput",11,"balanced",13223,1171,TRUE,FALSE
"batch_removed",11,"balanced",8608,2510,FALSE,FALSE
"batch_ignored",11,"balanced",8608,2894,FALSE,FALSE
"fix_filter",11,"balanced",13172,1163,TRUE,FALSE
"ctc_pipeline",12,"balanced",13157,1351,TRUE,FALSE
