"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","purity_cond_diff","purity_mean","purity_sd","n_per_group","median_lib"
15624,39,39,0,1720,0.0226744186046512,1,0,0.1,0.17845298696696,0,0,0,88,3458,0.988432620011567,"TMMwsp",TRUE,FALSE,1.48608844787149,"purity_ignored",2,3,0.2,0.6,0.15,5,1011896.5
16739,62,59,3,1720,0.0343023255813954,0.951612903225806,0.0483870967741935,0.1,0.180397094683886,0,0,0,95,2527,0.98812821527503,"TMMwsp",TRUE,FALSE,1.39337288168857,"purity_covariate",2,3,0.2,0.6,0.15,5,1011896.5
14635,31,23,8,1720,0.0133720930232558,0.741935483870968,0.258064516129032,0.1,0.124682445742744,0,0,0,76,3644,0.989846322722283,"TMMwsp",FALSE,FALSE,1.31242764725854,"purity_filtered",2,3,0.2,0.6,0.15,5,1011896.5
15706,451,97,354,1720,0.0563953488372093,0.215077605321508,0.784922394678492,0.1,0.121944399160036,0,0.0153846153846154,0,79,3561,0.990171300196574,"TMMwsp",TRUE,FALSE,1.42659334023179,"purity_ignored",2,4,0.3,0.6,0.15,5,1084281.5
16761,17,16,1,1720,0.00930232558139535,0.941176470588235,0.0588235294117647,0.1,0.129517031372061,0,0,0,86,2594,0.988434849653046,"TMMwsp",TRUE,FALSE,1.38617630003457,"purity_covariate",2,4,0.3,0.6,0.15,5,1084281.5
15807,23,21,2,1720,0.0122093023255814,0.91304347826087,0.0869565217391304,0.1,0.130203511160478,0,0,0,83,3078,0.988304093567251,"TMMwsp",FALSE,FALSE,1.45113225577843,"purity_filtered",2,4,0.3,0.6,0.15,5,1084281.5
16031,3730,357,3373,1720,0.207558139534884,0.0957104557640751,0.904289544235925,0.1,0.114519218479677,0.15,0.118279569892473,0,87,3350,0.986865671641791,"TMMwsp",TRUE,FALSE,1.33786991225372,"purity_ignored",2,5,0.4,0.6,0.15,5,956176.5
17035,4,4,0,1720,0.00232558139534884,1,0,0.1,0.117964087380182,0,0,0,96,2337,0.987163029525032,"TMMwsp",TRUE,FALSE,1.3519002141471,"purity_covariate",2,5,0.4,0.6,0.15,5,956176.5
16031,3730,357,3373,1720,0.207558139534884,0.0957104557640751,0.904289544235925,0.1,0.11439607167632,0.15,0.118279569892473,0,87,3350,0.986865671641791,"TMMwsp",TRUE,FALSE,1.33786991225372,"purity_filtered",2,5,0.4,0.6,0.15,5,956176.5
15531,61,60,1,1720,0.0348837209302326,0.983606557377049,0.0163934426229508,0.1,0.213649146056487,0,0,0,73,3386,0.991435321913763,"TMMwsp",TRUE,FALSE,1.41389205471899,"purity_ignored",3,1,0,0.6,0.15,5,931933
16655,65,64,1,1720,0.0372093023255814,0.984615384615385,0.0153846153846154,0.1,0.20313960126238,0,0,0,78,2552,0.990595611285266,"TMMwsp",TRUE,FALSE,1.41266740919698,"purity_covariate",3,1,0,0.6,0.15,5,931933
14472,14,14,0,1720,0.00813953488372093,1,0,0.1,0.171733803766553,0,0,0,57,3580,0.992178770949721,"TMMwsp",TRUE,FALSE,1.30688517036369,"purity_filtered",3,1,0,0.6,0.15,5,931933
15676,74,67,7,1720,0.038953488372093,0.905405405405405,0.0945945945945946,0.1,0.18888496625283,0,0,0,95,3421,0.988307512423268,"TMMwsp",TRUE,FALSE,1.35153748703451,"purity_ignored",3,2,0.1,0.6,0.15,5,873426.5
16746,69,61,8,1720,0.0354651162790698,0.884057971014493,0.115942028985507,0.1,0.185289004253918,0,0,0,98,2508,0.9896331738437,"TMMwsp",TRUE,FALSE,1.43410005518515,"purity_covariate",3,2,0.1,0.6,0.15,5,873426.5
15182,40,37,3,1720,0.0215116279069767,0.925,0.075,0.1,0.15516431083595,0,0,0,82,3291,0.990884229717411,"TMMwsp",FALSE,FALSE,1.36678904868624,"purity_filtered",3,2,0.1,0.6,0.15,5,873426.5
15205,58,54,4,1720,0.0313953488372093,0.931034482758621,0.0689655172413793,0.1,0.182830324150682,0,0,0,95,3764,0.98538788522848,"TMMwsp",TRUE,FALSE,1.50802672707838,"purity_ignored",3,3,0.2,0.6,0.15,5,912373
16398,52,49,3,1720,0.0284883720930233,0.942307692307692,0.0576923076923077,0.1,0.18950872982287,0,0,0,100,2804,0.985734664764622,"TMMwsp",TRUE,FALSE,1.52638313469141,"purity_covariate",3,3,0.2,0.6,0.15,5,912373
15205,58,54,4,1720,0.0313953488372093,0.931034482758621,0.0689655172413793,0.1,0.182775739612971,0,0,0,95,3764,0.98538788522848,"TMMwsp",TRUE,FALSE,1.50802672707838,"purity_filtered",3,3,0.2,0.6,0.15,5,912373
15646,64,50,14,1720,0.0290697674418605,0.78125,0.21875,0.1,0.136704601462734,0,0,0,81,3496,0.987986270022883,"TMMwsp",TRUE,FALSE,1.51923518820686,"purity_ignored",3,4,0.3,0.6,0.15,5,893882.5
16756,31,30,1,1720,0.0174418604651163,0.967741935483871,0.032258064516129,0.1,0.15442226375565,0,0,0,93,2533,0.988551125148046,"TMMwsp",TRUE,FALSE,1.40576352090742,"purity_covariate",3,4,0.3,0.6,0.15,5,893882.5
15646,64,50,14,1720,0.0290697674418605,0.78125,0.21875,0.1,0.136780833611195,0,0,0,81,3496,0.987986270022883,"TMMwsp",TRUE,FALSE,1.51923518820686,"purity_filtered",3,4,0.3,0.6,0.15,5,893882.5
14999,1499,154,1345,1720,0.0895348837209302,0.102735156771181,0.897264843228819,0.1,0.102573704319372,0.0583333333333333,0.0416666666666667,0,79,4164,0.989673390970221,"TMMwsp",TRUE,FALSE,1.55601575941727,"purity_ignored",3,5,0.4,0.6,0.15,5,584007.5
16028,3,3,0,1720,0.00174418604651163,1,0,0.1,0.102467557072809,0,0,0,84,2943,0.988447162759089,"TMMwsp",TRUE,FALSE,1.62795022215475,"purity_covariate",3,5,0.4,0.6,0.15,5,584007.5
14999,1499,154,1345,1720,0.0895348837209302,0.102735156771181,0.897264843228819,0.1,0.102521118300602,0.0583333333333333,0.0416666666666667,0,79,4164,0.989673390970221,"TMMwsp",TRUE,FALSE,1.55601575941727,"purity_filtered",3,5,0.4,0.6,0.15,5,584007.5
15596,72,59,13,1720,0.0343023255813954,0.819444444444444,0.180555555555556,0.1,0.165467287523044,0,0.00265957446808511,0,88,3396,0.985865724381625,"TMMwsp",TRUE,FALSE,1.31847403658641,"purity_ignored",4,1,0,0.6,0.15,5,867809.5
16733,27,26,1,1720,0.0151162790697674,0.962962962962963,0.037037037037037,0.1,0.150008845075437,0,0,0,92,2481,0.984280532043531,"TMMwsp",TRUE,FALSE,1.38301735709188,"purity_covariate",4,1,0,0.6,0.15,5,867809.5
15596,72,59,13,1720,0.0343023255813954,0.819444444444444,0.180555555555556,0.1,0.165412361370662,0,0.00265957446808511,0,88,3396,0.985865724381625,"TMMwsp",TRUE,FALSE,1.31847403658641,"purity_filtered",4,1,0,0.6,0.15,5,867809.5
15732,56,54,2,1720,0.0313953488372093,0.964285714285714,0.0357142857142857,0.1,0.19406048834712,0,0,0,81,3302,0.99030890369473,"TMMwsp",TRUE,FALSE,1.44629807191314,"purity_ignored",4,2,0.1,0.6,0.15,5,1008800
16804,35,32,3,1720,0.0186046511627907,0.914285714285714,0.0857142857142857,0.1,0.170047540364149,0,0,0,85,2448,0.988562091503268,"TMMwsp",TRUE,FALSE,1.37307986504739,"purity_covariate",4,2,0.1,0.6,0.15,5,1008800
15732,56,54,2,1720,0.0313953488372093,0.964285714285714,0.0357142857142857,0.1,0.194126824760874,0,0,0,81,3302,0.99030890369473,"TMMwsp",TRUE,FALSE,1.44629807191314,"purity_filtered",4,2,0.1,0.6,0.15,5,1008800
15950,177,74,103,1720,0.0430232558139535,0.418079096045198,0.581920903954802,0.1,0.134233389850962,0,0,0,83,3484,0.99052812858783,"TMMwsp",TRUE,FALSE,1.30715798963045,"purity_ignored",4,3,0.2,0.6,0.15,5,1171498.5
16940,5,5,0,1720,0.00290697674418605,1,0,0.1,0.126121506570175,0,0,0,93,2534,0.990923441199684,"TMMwsp",TRUE,FALSE,1.35542617628321,"purity_covariate",4,3,0.2,0.6,0.15,5,1171498.5
15950,177,74,103,1720,0.0430232558139535,0.418079096045198,0.581920903954802,0.1,0.134203002167709,0,0,0,83,3484,0.99052812858783,"TMMwsp",TRUE,FALSE,1.30715798963045,"purity_filtered",4,3,0.2,0.6,0.15,5,1171498.5
15594,27,26,1,1720,0.0151162790697674,0.962962962962963,0.037037037037037,0.1,0.175751798772033,0,0,0,84,3507,0.989164528086684,"TMMwsp",TRUE,FALSE,1.57618001384542,"purity_ignored",4,4,0.3,0.6,0.15,5,729630
16691,63,58,5,1720,0.0337209302325581,0.920634920634921,0.0793650793650794,0.1,0.170435191584016,0,0,0,89,2587,0.989176652493235,"TMMwsp",TRUE,FALSE,1.39532584546823,"purity_covariate",4,4,0.3,0.6,0.15,5,729630
15771,29,29,0,1720,0.0168604651162791,1,0,0.1,0.17756402931778,0,0,0,81,3121,0.990708106376161,"TMMwsp",TRUE,FALSE,1.42353622511981,"purity_filtered",4,4,0.3,0.6,0.15,5,729630
15757,1918,251,1667,1720,0.14593023255814,0.130865484880083,0.869134515119917,0.1,0.11910393918267,0.075,0.0628140703517588,0,85,3583,0.98744069215741,"TMMwsp",TRUE,FALSE,1.4681022978667,"purity_ignored",4,5,0.4,0.6,0.15,5,835535
16774,13,13,0,1720,0.00755813953488372,1,0,0.1,0.142016779358418,0,0,0,93,2556,0.987480438184664,"TMMwsp",TRUE,FALSE,1.44046696312137,"purity_covariate",4,5,0.4,0.6,0.15,5,835535
15757,1918,251,1667,1720,0.14593023255814,0.130865484880083,0.869134515119917,0.1,0.118962506710878,0.075,0.0628140703517588,0,85,3583,0.98744069215741,"TMMwsp",TRUE,FALSE,1.4681022978667,"purity_filtered",4,5,0.4,0.6,0.15,5,835535
15869,49,49,0,1720,0.0284883720930233,1,0,0.1,0.191353293422471,0,0,0,85,3272,0.98838630806846,"TMMwsp",TRUE,FALSE,1.37055483770084,"purity_ignored",5,1,0,0.6,0.15,5,885978.5
16995,42,41,1,1720,0.0238372093023256,0.976190476190476,0.0238095238095238,0.1,0.166671542758943,0,0,0,91,2381,0.98740025199496,"TMMwsp",TRUE,FALSE,1.35647446465276,"purity_covariate",5,1,0,0.6,0.15,5,885978.5
15809,33,32,1,1720,0.0186046511627907,0.96969696969697,0.0303030303030303,0.1,0.162879878986192,0,0,0,77,3148,0.989834815756036,"TMMwsp",TRUE,FALSE,1.23406002608026,"purity_filtered",5,1,0,0.6,0.15,5,885978.5
15306,96,71,25,1720,0.0412790697674419,0.739583333333333,0.260416666666667,0.1,0.174071441075091,0,0,0,86,3534,0.987266553480475,"TMMwsp",TRUE,FALSE,1.50072988133875,"purity_ignored",5,2,0.1,0.6,0.15,5,842415.5
16440,58,54,4,1720,0.0313953488372093,0.931034482758621,0.0689655172413793,0.1,0.176137868442732,0,0.00256410256410256,0,92,2575,0.986407766990291,"TMMwsp",TRUE,FALSE,1.42272405299282,"purity_covariate",5,2,0.1,0.6,0.15,5,842415.5
15249,26,26,0,1720,0.0151162790697674,1,0,0.1,0.16147278715107,0,0,0,83,3211,0.988788539395827,"TMMwsp",TRUE,FALSE,1.37744290278345,"purity_filtered",5,2,0.1,0.6,0.15,5,842415.5
15864,38,37,1,1720,0.0215116279069767,0.973684210526316,0.0263157894736842,0.1,0.148331590925688,0,0,0,93,3320,0.988253012048193,"TMMwsp",TRUE,FALSE,1.53815160740337,"purity_ignored",5,3,0.2,0.6,0.15,5,1122008.5
16937,41,36,5,1720,0.0209302325581395,0.878048780487805,0.121951219512195,0.1,0.151839406534139,0,0,0,97,2443,0.98894801473598,"TMMwsp",TRUE,FALSE,1.35378670940918,"purity_covariate",5,3,0.2,0.6,0.15,5,1122008.5
15864,38,37,1,1720,0.0215116279069767,0.973684210526316,0.0263157894736842,0.1,0.148292981947519,0,0,0,93,3320,0.988253012048193,"TMMwsp",TRUE,FALSE,1.53815160740337,"purity_filtered",5,3,0.2,0.6,0.15,5,1122008.5
15471,52,39,13,1720,0.0226744186046512,0.75,0.25,0.1,0.13389626646427,0,0,0,85,3600,0.989722222222222,"TMMwsp",TRUE,FALSE,1.44144240642215,"purity_ignored",5,4,0.3,0.6,0.15,5,863669.5
16613,22,18,4,1720,0.0104651162790698,0.818181818181818,0.181818181818182,0.1,0.132150261113914,0,0,0,94,2668,0.989130434782609,"TMMwsp",TRUE,FALSE,1.45033230739965,"purity_covariate",5,4,0.3,0.6,0.15,5,863669.5
